x,y,species cloglog values
1.0,1.0,0.09781665
2.0,2.0,0.05881553
3.0,3.0,0.8050713
4.0,4.0,5.226702E-4
5.0,5.0,0.15406176
6.0,6.0,0.5035719
7.0,7.0,0.10836063
8.0,8.0,0.0056936448
9.0,9.0,0.00499548
10.0,10.0,0.005619518
11.0,11.0,0.014536171
12.0,12.0,5.629702E-4
13.0,13.0,0.010655074
14.0,14.0,0.13674122
15.0,15.0,0.011339764
16.0,16.0,0.0012136082
17.0,17.0,0.010961104
18.0,18.0,0.0013738193
19.0,19.0,0.50824237
20.0,20.0,0.008716606
21.0,21.0,0.0034521022
22.0,22.0,0.06566116
23.0,23.0,0.002002781
24.0,24.0,0.009033184
25.0,25.0,0.0061999313
26.0,26.0,0.011840616
27.0,27.0,0.05732683
28.0,28.0,0.5151449
29.0,29.0,0.0012001276
30.0,30.0,0.005234987
31.0,31.0,0.08909239
32.0,32.0,0.022677911
33.0,33.0,0.0010895061
34.0,34.0,0.011264481
35.0,35.0,0.003554751
36.0,36.0,0.19666329
37.0,37.0,0.010080486
38.0,38.0,0.020054046
39.0,39.0,2.872806E-4
40.0,40.0,8.376761E-5
41.0,41.0,0.009859316
42.0,42.0,0.0025957206
43.0,43.0,0.026598264
44.0,44.0,5.6556734E-4
45.0,45.0,0.15214154
46.0,46.0,0.11047718
47.0,47.0,0.039853558
48.0,48.0,0.03256904
49.0,49.0,0.31933966
50.0,50.0,8.6996396E-4
51.0,51.0,0.024539795
52.0,52.0,0.20693836
53.0,53.0,0.04065661
54.0,54.0,0.0073666517
55.0,55.0,0.011614881
56.0,56.0,0.39434594
57.0,57.0,0.0014785102
58.0,58.0,0.014792321
59.0,59.0,0.2577428
60.0,60.0,0.004420589
61.0,61.0,0.0024361208
62.0,62.0,9.611931E-4
63.0,63.0,0.0057541304
64.0,64.0,0.0137479985
65.0,65.0,4.66773E-4
66.0,66.0,0.0016562218
67.0,67.0,0.001088437
68.0,68.0,0.0049289525
69.0,69.0,0.0019672448
70.0,70.0,0.004806185
71.0,71.0,3.8820264E-4
72.0,72.0,0.002417608
73.0,73.0,0.65053487
74.0,74.0,0.004666173
75.0,75.0,0.13420145
76.0,76.0,0.11592574
77.0,77.0,0.011637928
78.0,78.0,0.006332013
79.0,79.0,0.008266987
80.0,80.0,0.0051697986
81.0,81.0,0.06142055
82.0,82.0,0.00336952
83.0,83.0,0.08206013
84.0,84.0,0.07393334
85.0,85.0,0.0011348369
86.0,86.0,0.017270861
87.0,87.0,0.010653253
88.0,88.0,0.0034360744
89.0,89.0,0.2854468
90.0,90.0,0.31485784
91.0,91.0,0.23006025
92.0,92.0,0.224534
93.0,93.0,0.0011843969
94.0,94.0,0.6262192
95.0,95.0,0.24035583
96.0,96.0,2.7070814E-4
97.0,97.0,0.0014070994
98.0,98.0,0.08680234
99.0,99.0,0.06293062
100.0,100.0,0.048740353
101.0,101.0,0.0012267207
102.0,102.0,0.0014435847
103.0,103.0,0.004157437
104.0,104.0,0.007610706
105.0,105.0,5.661341E-4
106.0,106.0,0.0030808158
107.0,107.0,0.06715633
108.0,108.0,0.15266994
109.0,109.0,0.011587834
110.0,110.0,9.0957165E-4
111.0,111.0,0.0018410515
112.0,112.0,0.0146250585
113.0,113.0,0.008670794
114.0,114.0,0.0014645854
115.0,115.0,0.17510529
116.0,116.0,9.985176E-4
117.0,117.0,0.005571249
118.0,118.0,0.001625787
119.0,119.0,0.009579037
120.0,120.0,0.29962954
121.0,121.0,0.0067236456
122.0,122.0,0.010634948
123.0,123.0,0.019192893
124.0,124.0,0.05093702
125.0,125.0,0.06179296
126.0,126.0,0.0050477814
127.0,127.0,0.011407959
128.0,128.0,0.0011520092
129.0,129.0,0.005376994
130.0,130.0,0.3666882
131.0,131.0,0.0037052573
132.0,132.0,0.011317426
133.0,133.0,0.1070105
134.0,134.0,0.1267808
135.0,135.0,0.032619305
136.0,136.0,0.0054247086
137.0,137.0,0.7496121
138.0,138.0,0.8323154
139.0,139.0,0.7365259
140.0,140.0,0.0861907
141.0,141.0,0.099280134
142.0,142.0,0.055828426
143.0,143.0,0.03761917
144.0,144.0,0.0031896408
145.0,145.0,3.5750278E-4
146.0,146.0,0.0018521807
147.0,147.0,0.00891255
148.0,148.0,0.004564014
149.0,149.0,0.0033257063
150.0,150.0,2.1961963E-4
151.0,151.0,0.022232208
152.0,152.0,0.02727494
153.0,153.0,0.015565625
154.0,154.0,0.0024794817
155.0,155.0,4.907662E-4
156.0,156.0,0.0073117074
157.0,157.0,9.900763E-4
158.0,158.0,0.0019497119
159.0,159.0,0.005788188
160.0,160.0,5.798839E-4
161.0,161.0,0.03521176
162.0,162.0,0.015091803
163.0,163.0,0.001973107
164.0,164.0,0.11257947
165.0,165.0,0.082296394
166.0,166.0,0.014020632
167.0,167.0,0.014265059
168.0,168.0,0.0054023787
169.0,169.0,0.0953269
170.0,170.0,0.002693834
171.0,171.0,0.12475739
172.0,172.0,0.0017450631
173.0,173.0,0.0011893074
174.0,174.0,2.3990487E-4
175.0,175.0,0.009832796
176.0,176.0,0.05505443
177.0,177.0,0.025731303
178.0,178.0,0.12863252
179.0,179.0,0.0021904237
180.0,180.0,0.0012095353
181.0,181.0,0.011472817
182.0,182.0,0.009093029
183.0,183.0,0.02609004
184.0,184.0,0.0047455938
185.0,185.0,0.24941835
186.0,186.0,0.5993713
187.0,187.0,8.769105E-4
188.0,188.0,0.6435626
189.0,189.0,0.0060181185
190.0,190.0,4.203037E-4
191.0,191.0,6.1696494E-4
192.0,192.0,0.017262598
193.0,193.0,0.010325605
194.0,194.0,3.547151E-4
195.0,195.0,0.12854429
196.0,196.0,0.004602499
197.0,197.0,0.09684075
198.0,198.0,0.017755194
199.0,199.0,6.435866E-4
200.0,200.0,0.5405188
