Fold,Model,AUC,Sensitivity,Specificity,PPV,NPV,Cutoff,Youden,Accuracy,F1_Score,Kappa,auc_mean,auc_sd,ci_lower,ci_upper,se_mean,se_sd,se_lower,se_upper,sp_mean,sp_sd,sp_lower,sp_upper,ppv_mean,ppv_lower,ppv_upper,npv_mean,npv_lower,npv_upper,accuracy_mean,accuracy_lower,accuracy_upper
1,GLM_no,0.796324434,0.864233109,0.609372518,0.523264831,0.900469484,0.401399776,0.473605627,0.693884052,0.651853641,0.406817468,0.898490967,0.053030347,0.865622418,0.931359517,0.887744707,0.077956073,0.839427033,0.921977692,0.790554968,0.120797617,0.71568383,0.89416776,0.789349316,0.700248439,0.878450193,0.89786923,0.873760769,0.921977692,0.839246235,0.787447637,0.891044832
2,GLM_no,0.955878835,0.918555513,0.902678826,0.913060081,0.908764883,0.561663169,0.821234339,0.911040669,0.915799553,0.821512983,,,,,,,,,,,,,,,,,,,,,
3,GLM_no,0.983300943,0.994530673,0.96545407,0.980758017,0.99006978,0.455044198,0.959984742,0.984035519,0.98759633,0.96520638,,,,,,,,,,,,,,,,,,,,,
4,GLM_no,0.878346526,0.944368534,0.720895522,0.838039148,0.894444444,0.128609837,0.665264056,0.856013218,0.888032305,0.688376671,,,,,,,,,,,,,,,,,,,,,
5,GLM_no,0.917987909,0.837170264,0.862427746,0.807354302,0.884934757,0.439209313,0.699598009,0.852127139,0.821991994,0.695599381,,,,,,,,,,,,,,,,,,,,,
6,GLM_no,0.842250984,0.899494949,0.624113475,0.554483188,0.922718447,0.486130427,0.523608425,0.718334197,0.68605547,0.455587437,,,,,,,,,,,,,,,,,,,,,
7,GLM_no,0.891457402,0.704520397,0.911396927,0.794446747,0.863867254,0.622756277,0.615917324,0.843731218,0.746786132,0.634369231,,,,,,,,,,,,,,,,,,,,,
8,GLM_no,0.905463717,0.881529667,0.768687085,0.805475504,0.856563246,0.718919366,0.650216752,0.827448163,0.841788235,0.65288382,,,,,,,,,,,,,,,,,,,,,
9,GLM_no,0.897054712,0.934141038,0.740982714,0.825796412,0.895394737,0.216032461,0.675123752,0.850682192,0.876633788,0.689341832,,,,,,,,,,,,,,,,,,,,,
10,GLM_no,0.916844211,0.89890293,0.799540798,0.850814932,0.861465271,0.295437778,0.698443728,0.85516598,0.874198123,0.703850284,,,,,,,,,,,,,,,,,,,,,
1,GLM_w,0.795099567,0.842459174,0.623034154,0.525779376,0.888536475,0.434437195,0.465493328,0.695795286,0.647471392,0.404162323,0.897948604,0.054656561,0.864072117,0.931825091,0.885301335,0.079935023,0.835757095,0.921881357,0.792796797,0.120698385,0.717987162,0.895084212,0.791860484,0.703152003,0.880568965,0.896261967,0.870642577,0.921881357,0.840260211,0.788364761,0.89215566
2,GLM_w,0.957192837,0.931233192,0.894129382,0.907298815,0.921168526,0.544944362,0.825362574,0.913671006,0.919110212,0.826591415,,,,,,,,,,,,,,,,,,,,,
3,GLM_w,0.983473754,0.995121951,0.96545407,0.980769231,0.991133799,0.435943473,0.960576021,0.984413376,0.987893462,0.966022116,,,,,,,,,,,,,,,,,,,,,
4,GLM_w,0.863452035,0.920944759,0.71641791,0.832392378,0.855614973,0.148858246,0.637362669,0.840080255,0.874432397,0.655825329,,,,,,,,,,,,,,,,,,,,,
5,GLM_w,0.92214358,0.82206235,0.893311313,0.841433481,0.879369208,0.511371992,0.715373663,0.864254279,0.831635129,0.717946394,,,,,,,,,,,,,,,,,,,,,
6,GLM_w,0.842241299,0.9,0.623588127,0.554276827,0.923017107,0.484752499,0.523588127,0.718161396,0.686044273,0.45542571,,,,,,,,,,,,,,,,,,,,,
7,GLM_w,0.891932384,0.707092981,0.911932833,0.796028134,0.86496103,0.623255922,0.619025814,0.844933285,0.748929545,0.637322883,,,,,,,,,,,,,,,,,,,,,
8,GLM_w,0.909253365,0.873250542,0.786892268,0.816589862,0.851053973,0.738525247,0.66014281,0.831862041,0.84397028,0.662130501,,,,,,,,,,,,,,,,,,,,,
9,GLM_w,0.8958535,0.9348659,0.736627195,0.823497218,0.895878166,0.219530247,0.671493095,0.84921195,0.875654704,0.686079468,,,,,,,,,,,,,,,,,,,,,
10,GLM_w,0.918843717,0.925982502,0.776580714,0.840539518,0.89188641,0.262096617,0.702563216,0.860219233,0.881194661,0.712405233,,,,,,,,,,,,,,,,,,,,,
1,GAM_no,0.843619033,0.751520973,0.762668785,0.611038792,0.860857092,0.611513378,0.514189758,0.758972181,0.674037909,0.486036492,0.916943481,0.047147404,0.887721217,0.946165745,0.865274399,0.086695016,0.811540271,0.917627037,0.853153474,0.091973519,0.796147696,0.90670827,0.829981263,0.748696826,0.9112657,0.887115469,0.856603901,0.917627037,0.862709008,0.818758612,0.906659404
2,GAM_no,0.963067309,0.944166987,0.919777714,0.92905746,0.936729067,0.711732624,0.863944701,0.932622918,0.936551286,0.864737249,,,,,,,,,,,,,,,,,,,,,
3,GAM_no,0.98569956,0.99571323,0.969379744,0.982927185,0.992231449,0.428922165,0.965092973,0.9862082,0.989278896,0.969953649,,,,,,,,,,,,,,,,,,,,,
4,GAM_no,0.950968328,0.884052313,0.884776119,0.921464903,0.833052277,0.449433933,0.768828433,0.884338487,0.90237099,0.760655816,,,,,,,,,,,,,,,,,,,,,
5,GAM_no,0.91723783,0.802398082,0.877291495,0.818292981,0.865710561,0.278570622,0.679689576,0.846748166,0.810267587,0.681750879,,,,,,,,,,,,,,,,,,,,,
6,GAM_no,0.868984831,0.881313131,0.702915682,0.60674548,0.919271728,0.365591607,0.584228813,0.763953689,0.718698517,0.527004235,,,,,,,,,,,,,,,,,,,,,
7,GAM_no,0.873464023,0.711870636,0.916398714,0.805405405,0.867433209,0.404783713,0.62826935,0.849501142,0.755754975,0.647595224,,,,,,,,,,,,,,,,,,,,,
8,GAM_no,0.957860049,0.882909521,0.949882202,0.950350095,0.881885067,0.854345186,0.832791723,0.915007185,0.915389332,0.830242721,,,,,,,,,,,,,,,,,,,,,
9,GAM_no,0.918943274,0.918504712,0.777868518,0.844601028,0.87896032,0.254997847,0.696373229,0.857739355,0.880003968,0.70608602,,,,,,,,,,,,,,,,,,,,,
10,GAM_no,0.889590573,0.880294404,0.770575768,0.829929301,0.835023923,0.114917684,0.650870172,0.831998756,0.854370241,0.656282928,,,,,,,,,,,,,,,,,,,,,
1,GAM_w,0.844118085,0.755363433,0.761080222,0.610665286,0.862466247,0.610179323,0.516443655,0.75918454,0.675350701,0.487349376,0.918038908,0.046548143,0.88918807,0.946889746,0.875317863,0.08684682,0.821489646,0.924522742,0.846286192,0.102490333,0.782762026,0.908532798,0.827578987,0.743950422,0.911207552,0.894738143,0.864953545,0.924522742,0.863222627,0.818813202,0.907632052
