"Metric","Mean","SD","Median","Q25","Q75","CI_Lower","CI_Upper","Model"
"AUC",0.26516962944625,0.4273478281399,0,0,0.631688237775708,0,0.912018544651145,"GLM_no"
"Sensitivity",0.244118561019682,0.395861295301849,0,0,0.528390297684675,0,0.885471895211104,"GLM_no"
"Specificity",0.239793814831614,0.392843320405434,0,0,0.468085106382979,0,0.900378861566992,"GLM_no"
"PPV",0.215628423640568,0.35362598521247,0,0,0.415862391033624,0,0.804450101746131,"GLM_no"
"NPV",0.267152045706319,0.430385270838242,0,0,0.647900440230274,0,0.914217116401202,"GLM_no"
"Cutoff",0.154809601782689,0.253287905144275,0,0,0.329406985002844,0,0.592015461013517,"GLM_no"
"Youden",0.183912375851296,0.299020565585324,0,0,0.392706318504191,0,0.680769855313699,"GLM_no"
"Accuracy",0.24141925543976,0.39032386544864,0,0,0.538750648004147,0,0.850238056988583,"GLM_no"
"F1_Score",0.225483359597394,0.364479083156959,0,0,0.514541602465331,0,0.805070675246461,"GLM_no"
"Kappa",0.178555604948338,0.293451054556464,0,0,0.34169057790041,0,0.68182259725283,"GLM_no"
"AUC",0.265631726329317,0.428130357312281,0,0,0.631680974441022,0,0.915346060872214,"GLM_w"
"Sensitivity",0.242915533064177,0.393797385656553,0,0,0.5303197353914,0,0.882464028776978,"GLM_w"
"Specificity",0.242883227325342,0.39840879692415,0,0,0.46769109535067,0,0.907742991111902,"GLM_w"
"PPV",0.219173844203091,0.360327344079556,0,0,0.415707620528771,0,0.831217277633129,"GLM_w"
"NPV",0.266734734572757,0.429720087477871,0,0,0.648720772619451,0,0.913196330023087,"GLM_w"
"Cutoff",0.161938041312948,0.263036742599865,0,0,0.363564374359564,0,0.598082037596718,"GLM_w"
"Youden",0.185798760389519,0.302560401515288,0,0,0.39269109535067,0,0.693695396967634,"GLM_w"
"Accuracy",0.242734896021217,0.392626654497919,0,0,0.538621047174702,0,0.859907055196062,"GLM_w"
"F1_Score",0.226660894648798,0.366578411070615,0,0,0.514533205004812,0,0.81302637217645,"GLM_w"
"Kappa",0.181069498644224,0.298361902783895,0,0,0.341569282136895,0,0.699806104148023,"GLM_w"
"AUC",0.265968668375227,0.428434611469947,0,0,0.651738623428931,0,0.907388723252183,"GAM_no"
"Sensitivity",0.239558184864357,0.387790619253441,0,0,0.533902976846747,0,0.863557245113,"GAM_no"
"Specificity",0.249660589009799,0.405546726682245,0,0,0.527186761229314,0,0.907599589507754,"GAM_no"
"PPV",0.22304438664075,0.363460736571992,0,0,0.455059109874826,0,0.815393276622183,"GAM_no"
"NPV",0.265241549788815,0.427320444405105,0,0,0.649282920469361,0,0.907608061244725,"GAM_no"
"Cutoff",0.104894594225755,0.171619705570052,0,0,0.208927966667216,0,0.395965489350953,"GAM_no"
"Youden",0.189218773874155,0.305502529111945,0,0,0.438171609714163,0,0.66812002519462,"GAM_no"
"Accuracy",0.246020299752696,0.396792698151656,0,0,0.572965266977709,0,0.848881722430551,"GAM_no"
"F1_Score",0.228472107881221,0.368515288692581,0,0,0.539023887973641,0,0.798002249121863,"GAM_no"
"Kappa",0.18563503381535,0.3013476473989,0,0,0.3952531761452,0,0.674065856905126,"GAM_no"
"AUC",0.266749821823592,0.429702796007643,0,0,0.652624750260684,0,0.910745366092197,"GAM_w"
"Sensitivity",0.246080496733214,0.399070671109038,0,0,0.53335170893054,0,0.894231160526125,"GAM_w"
"Specificity",0.245255616773533,0.399458895485315,0,0,0.507289204097715,0,0.908373639104918,"GAM_w"
"PPV",0.221091175871934,0.360801459312778,0,0,0.445451549110086,0,0.815730509004303,"GAM_w"
"NPV",0.268866328507486,0.433228753267461,0,0,0.651156941649899,0,0.924040950689735,"GAM_w"
"Cutoff",0.0970073934235322,0.161347172517273,0,0,0.180490464633057,0,0.39068098503566,"GAM_w"
"Youden",0.191336113506747,0.309060071431346,0,0,0.439864961673472,0,0.678467903471853,"GAM_w"
"Accuracy",0.245783586109166,0.396587298496042,0,0,0.567262830482115,0,0.853101078598466,"GAM_w"
"F1_Score",0.229804428644133,0.370744336940412,0,0,0.539090546469884,0,0.804597849505069,"GAM_w"
"Kappa",0.186377605854453,0.302988811492667,0,0,0.390043736454774,0,0.678995750262136,"GAM_w"
