"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"GLM_no",0.917987908599627,0.837170263788969,0.86242774566474,0.807354301572618,0.884934756820878,0.439209313337126,0.699598009453709,0.852127139364303,0.821991994348952,0.695599380889441
2,"GLM_no",0.842250983700944,0.899494949494949,0.624113475177305,0.554483188044832,0.922718446601942,0.486130427211005,0.523608424672255,0.718334197338863,0.686055469953775,0.455587437200547
3,"GLM_no",0.891457402161926,0.7045203969129,0.911396927474098,0.79444674678823,0.863867253640366,0.622756277278763,0.615917324386998,0.843731217694434,0.746786131671212,0.634369231393391
4,"GLM_no",0,0,0,0,0,0,0,0,0,0
5,"GLM_no",0,0,0,0,0,0,0,0,0,0
6,"GLM_no",0,0,0,0,0,0,0,0,0,0
7,"GLM_no",0,0,0,0,0,0,0,0,0,0
8,"GLM_no",0,0,0,0,0,0,0,0,0,0
9,"GLM_no",0,0,0,0,0,0,0,0,0,0
10,"GLM_no",0,0,0,0,0,0,0,0,0,0
1,"GLM_w",0.922143579933741,0.822062350119904,0.893311312964492,0.841433480608738,0.87936920825882,0.511371992255298,0.715373663084396,0.864254278728606,0.83163512857836,0.717946394253796
2,"GLM_w",0.842241299254696,0.9,0.623588127134226,0.554276827371695,0.923017107309487,0.484752499146086,0.523588127134226,0.718161396232936,0.68604427333975,0.45542570951586
3,"GLM_w",0.891932384104734,0.707092980521867,0.911932833154698,0.796028134050476,0.864961030159268,0.623255921728098,0.619025813676565,0.844933285250631,0.748929544569871,0.637322882672583
4,"GLM_w",0,0,0,0,0,0,0,0,0,0
5,"GLM_w",0,0,0,0,0,0,0,0,0,0
6,"GLM_w",0,0,0,0,0,0,0,0,0,0
7,"GLM_w",0,0,0,0,0,0,0,0,0,0
8,"GLM_w",0,0,0,0,0,0,0,0,0,0
9,"GLM_w",0,0,0,0,0,0,0,0,0,0
10,"GLM_w",0,0,0,0,0,0,0,0,0,0
1,"GAM_no",0.91723782988473,0.802398081534772,0.877291494632535,0.81829298116899,0.865710560625815,0.278570622222954,0.679689576167307,0.846748166259169,0.810267586874924,0.681750879389362
2,"GAM_no",0.868984831238574,0.881313131313131,0.702915681639086,0.606745479833101,0.919271727928547,0.365591606683386,0.584228812952217,0.763953689303612,0.718698517298188,0.527004234860267
3,"GAM_no",0.873464022628967,0.711870635795663,0.916398713826367,0.805405405405405,0.867433209333784,0.404783713351214,0.62826934962203,0.849501141964178,0.755754974639095,0.647595223903867
4,"GAM_no",0,0,0,0,0,0,0,0,0,0
5,"GAM_no",0,0,0,0,0,0,0,0,0,0
6,"GAM_no",0,0,0,0,0,0,0,0,0,0
7,"GAM_no",0,0,0,0,0,0,0,0,0,0
8,"GAM_no",0,0,0,0,0,0,0,0,0,0
9,"GAM_no",0,0,0,0,0,0,0,0,0,0
10,"GAM_no",0,0,0,0,0,0,0,0,0,0
1,"GAM_w",0.920628531031492,0.839568345323741,0.851197357555739,0.795320308950477,0.885110767645544,0.240653952844076,0.69076570287948,0.846454767726161,0.816845543630425,0.684835014592817
2,"GAM_w",0.870166333680912,0.91010101010101,0.67638560546362,0.593935398813448,0.935343261896113,0.317490000986463,0.58648661556463,0.75635044064282,0.718787395293179,0.520058315273033
3,"GAM_w",0.876703353523513,0.711135611907387,0.92497320471597,0.821656050955414,0.868209255533199,0.411929980404782,0.636108816623357,0.855030652722683,0.76241134751773,0.658882728678679
4,"GAM_w",0,0,0,0,0,0,0,0,0,0
5,"GAM_w",0,0,0,0,0,0,0,0,0,0
6,"GAM_w",0,0,0,0,0,0,0,0,0,0
7,"GAM_w",0,0,0,0,0,0,0,0,0,0
8,"GAM_w",0,0,0,0,0,0,0,0,0,0
9,"GAM_w",0,0,0,0,0,0,0,0,0,0
10,"GAM_w",0,0,0,0,0,0,0,0,0,0
