"Metric","Mean","SD","Median","Q25","Q75","CI_Lower","CI_Upper","Model"
"AUC",0.271936263949907,0.43788401418868,0,0,0.672791034229904,0,0.914283599462831,"GLM_no"
"Sensitivity",0.271457363460169,0.437270512222212,0,0,0.661147250147841,0,0.926212463415151,"GLM_no"
"Specificity",0.230921059736634,0.372074566457427,0,0,0.555737035524704,0,0.792598712817482,"GLM_no"
"PPV",0.248208684754451,0.399797314964037,0,0,0.604106628242075,0,0.845185764632885,"GLM_no"
"NPV",0.261342325383581,0.4209191835764,0,0,0.642422434367542,0,0.887760607065952,"GLM_no"
"Cutoff",0.123038960516803,0.235563792107467,0,0,0.162024346088874,0,0.623636008445448,"GLM_no"
"Youden",0.202378423196803,0.326058495860549,0,0,0.487662563919527,0,0.693196733666141,"GLM_no"
"Accuracy",0.253329633496273,0.40795975774697,0,0,0.620586121946212,0,0.85415712775111,"GLM_no"
"F1_Score",0.259262014650296,0.417552214640615,0,0,0.631341176470588,0,0.876085763667098,"GLM_no"
"Kappa",0.204607593529099,0.32968200028223,0,0,0.489662864751947,0,0.700585882065414,"GLM_no"
"AUC",0.272395058209014,0.438631492295326,0,0,0.671890124872341,0,0.91668588788779,"GLM_w"
"Sensitivity",0.273409894489891,0.440511653485541,0,0,0.654937906564163,0,0.932867135843734,"GLM_w"
"Specificity",0.23001001764538,0.37056272346694,0,0,0.552470396080033,0,0.784572168361497,"GLM_w"
"PPV",0.248062659813312,0.399461098147193,0,0,0.612442396313364,0,0.836705000842882,"GLM_w"
"NPV",0.263881854826909,0.425051054093089,0,0,0.638290479499653,0,0.894980020737268,"GLM_w"
"Cutoff",0.122015211077551,0.238846903380265,0,0,0.164647685010244,0,0.631328805430376,"GLM_w"
"Youden",0.203419912135271,0.327700739604865,0,0,0.495107107677892,0,0.695572438778447,"GLM_w"
"Accuracy",0.254129322423843,0.409242578887966,0,0,0.623896530486553,0,0.857742594710853,"GLM_w"
"F1_Score",0.26008196452522,0.418878760298271,0,0,0.632977710040008,0,0.879948170735224,"GLM_w"
"Kappa",0.206061520280226,0.332002267809501,0,0,0.496597875995464,0,0.706481936203633,"GLM_w"
"AUC",0.276639389662654,0.445724190244648,0,0,0.667192929805709,0,0.949103774994793,"GAM_no"
"Sensitivity",0.268170863615672,0.431913345670423,0,0,0.660220802666296,0,0.91049579371986,"GAM_no"
"Specificity",0.249832648779838,0.405103432448715,0,0,0.57793182620982,0,0.911179122857634,"GAM_no"
"PPV",0.262488042472023,0.423779177446858,0,0,0.622446975648075,0,0.926556555381952,"GAM_no"
"NPV",0.259586930996019,0.418157827721615,0,0,0.626267942583732,0,0.881226998603425,"GAM_no"
"Cutoff",0.122426071720529,0.270442896628075,0,0,0.0861882627809388,0,0.719492034974555,"GAM_no"
"Youden",0.218003512395509,0.353844660594468,0,0,0.488152628876116,0,0.802097561739429,"GAM_no"
"Accuracy",0.260474529695087,0.41988187163812,0,0,0.623999067091658,0,0.902121923647031,"GAM_no"
"F1_Score",0.264976354073141,0.426896870045259,0,0,0.640777680436687,0,0.907427624967651,"GAM_no"
"Kappa",0.219261166908575,0.355561079583159,0,0,0.492212196272013,0,0.802307462964676,"GAM_no"
"AUC",0.276920762381729,0.446166462558747,0,0,0.66818459230735,0,0.949512811707269,"GAM_w"
"Sensitivity",0.272171107417923,0.43843462925401,0,0,0.656416321703134,0,0.925023106466536,"GAM_w"
"Specificity",0.246888080440011,0.401419748657305,0,0,0.551042034616743,0,0.916743720101683,"GAM_w"
"PPV",0.261737981723558,0.422911236903887,0,0,0.611387966039129,0,0.931900622202719,"GAM_w"
"NPV",0.264369009584843,0.425687857428736,0,0,0.656966490299824,0,0.886886342864604,"GAM_w"
"Cutoff",0.120743929941537,0.274758860402724,0,0,0.0648483464707341,0,0.729765255133288,"GAM_w"
"Youden",0.219059187857935,0.355371763052763,0,0,0.49105036679283,0,0.803498181388149,"GAM_w"
"Accuracy",0.261484518841078,0.421431495602807,0,0,0.628838529114514,0,0.902716734299623,"GAM_w"
"F1_Score",0.266268011274683,0.428896118925432,0,0,0.648323329853862,0,0.90748905771336,"GAM_w"
"Kappa",0.220997827574166,0.358030944702486,0,0,0.499784907477014,0,0.803551079586467,"GAM_w"
