"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"GLM_no",0.905463716566149,0.881529666863789,0.768687085028914,0.805475504322766,0.856563245823389,0.718919365653277,0.650216751892703,0.82744816259495,0.841788235294118,0.652883819669263
2,"GLM_no",0.897054712306539,0.934141037589313,0.740982714032939,0.825796411570853,0.895394736842105,0.216032461451832,0.675123751622252,0.850682192425312,0.876633788445654,0.689341831893502
3,"GLM_no",0.916844210626384,0.89890293014859,0.799540798304486,0.850814931650894,0.861465271170314,0.295437778062925,0.698443728453077,0.855165979942471,0.874198122763185,0.703850283728227
4,"GLM_no",0,0,0,0,0,0,0,0,0,0
5,"GLM_no",0,0,0,0,0,0,0,0,0,0
6,"GLM_no",0,0,0,0,0,0,0,0,0,0
7,"GLM_no",0,0,0,0,0,0,0,0,0,0
8,"GLM_no",0,0,0,0,0,0,0,0,0,0
9,"GLM_no",0,0,0,0,0,0,0,0,0,0
10,"GLM_no",0,0,0,0,0,0,0,0,0,0
1,"GLM_w",0.909253365207233,0.873250542085551,0.786892268151638,0.816589861751152,0.851053972666204,0.738525247289018,0.660142810237189,0.831862040648737,0.843970280053344,0.662130501327286
2,"GLM_w",0.895853499829789,0.934865900383142,0.736627194773377,0.823497217914804,0.895878165866578,0.219530246680325,0.671493095156519,0.849211950129381,0.875654704170708,0.686079468071774
3,"GLM_w",0.918843717053114,0.925982502430218,0.776580713528788,0.840539518467163,0.891886409736308,0.262096616806162,0.702563215959007,0.860219233460312,0.881194661028149,0.712405233403205
4,"GLM_w",0,0,0,0,0,0,0,0,0,0
5,"GLM_w",0,0,0,0,0,0,0,0,0,0
6,"GLM_w",0,0,0,0,0,0,0,0,0,0
7,"GLM_w",0,0,0,0,0,0,0,0,0,0
8,"GLM_w",0,0,0,0,0,0,0,0,0,0
9,"GLM_w",0,0,0,0,0,0,0,0,0,0
10,"GLM_w",0,0,0,0,0,0,0,0,0,0
1,"GAM_no",0.957860049446427,0.882909520993495,0.949882201756265,0.950350095480586,0.881885066613641,0.854345186250266,0.83279172274976,0.915007185382878,0.915389331698344,0.830242720549064
2,"GAM_no",0.918943274105832,0.91850471160816,0.777868517762352,0.844601028375548,0.878960319901569,0.254997847247107,0.696373229370512,0.857739355445778,0.880003968450816,0.706086020174006
3,"GAM_no",0.889590573074278,0.880294403555062,0.77057576827976,0.829929300864101,0.835023923444976,0.114917683707918,0.650870171834822,0.831998756122211,0.85437024058225,0.656282928362684
4,"GAM_no",0,0,0,0,0,0,0,0,0,0
5,"GAM_no",0,0,0,0,0,0,0,0,0,0
6,"GAM_no",0,0,0,0,0,0,0,0,0,0
7,"GAM_no",0,0,0,0,0,0,0,0,0,0
8,"GAM_no",0,0,0,0,0,0,0,0,0,0
9,"GAM_no",0,0,0,0,0,0,0,0,0,0
10,"GAM_no",0,0,0,0,0,0,0,0,0,0
1,"GAM_w",0.957993589164698,0.875221762270846,0.957378453630328,0.957102823884458,0.875955320399765,0.868265303101908,0.832600215901173,0.914596592075549,0.914332784184514,0.829529890523085
2,"GAM_w",0.920301244909459,0.926478202340271,0.776779637947462,0.845093038632285,0.889356397070282,0.252709534352485,0.703257840287733,0.861797224182545,0.883916222090496,0.71406850858256
3,"GAM_w",0.890912789743133,0.920011109568115,0.734722712822324,0.815183954718838,0.878378378378378,0.0864644619609789,0.65473382239044,0.838451372152686,0.864431106471816,0.666379876636019
4,"GAM_w",0,0,0,0,0,0,0,0,0,0
5,"GAM_w",0,0,0,0,0,0,0,0,0,0
6,"GAM_w",0,0,0,0,0,0,0,0,0,0
7,"GAM_w",0,0,0,0,0,0,0,0,0,0
8,"GAM_w",0,0,0,0,0,0,0,0,0,0
9,"GAM_w",0,0,0,0,0,0,0,0,0,0
10,"GAM_w",0,0,0,0,0,0,0,0,0,0
