"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"BRT_no",0.85365342635808,0.844700608389369,0.677521842732327,0.565124250214225,0.897894736842105,0.285113044753283,0.522222451121697,0.732958165215545,0.677191631369529,0.464345554012489
2,"BRT_no",0.973936402163056,0.97323600973236,0.918210316329439,0.929777342794226,0.968585600480986,0.548719953327066,0.891446326061799,0.947190935455588,0.951010448601639,0.893800677249154
3,"BRT_no",0.986781649549026,0.995713229859571,0.969379743522638,0.982927185174376,0.992231449236539,0.382273334390905,0.965092973382209,0.986208199508785,0.98927889557938,0.969953648840148
4,"BRT_no",0.977724776469012,0.917431192660551,0.921791044776119,0.947198710197501,0.879521503845058,0.438015282270402,0.83922223743667,0.919154962823085,0.932077342588002,0.832300492294714
5,"BRT_no",0.946039284179593,0.843645083932854,0.889843104872007,0.840621266427718,0.89205298013245,0.183290712512895,0.73348818880486,0.871002444987775,0.842130460801915,0.733077727293193
6,"BRT_no",0.874949123491283,0.739393939393939,0.812188074599422,0.671867829279486,0.856984478935699,0.36404656797308,0.551582013993361,0.787281838603767,0.704015388314499,0.538593056042139
7,"BRT_no",0.912345250095226,0.796030871003308,0.892997499106824,0.783363471971067,0.900072020165646,0.346419930212592,0.689028370110131,0.861281404014906,0.789646372584761,0.686177106763501
8,"BRT_no",0.968295315044176,0.910506603587621,0.948597130006425,0.95060712080675,0.907024370264182,0.731320817569916,0.859103733594046,0.928762061178403,0.930124848973016,0.857538676724093
9,"BRT_no",0.940315838571284,0.922543232888061,0.844017966516946,0.886026852312282,0.892358612750036,0.290086549388494,0.766561199405006,0.888614443660315,0.903916396103896,0.771560193206188
10,"BRT_no",0.916934750565228,0.937092070545757,0.770752384316496,0.838677603778275,0.9059580651858,0.0523228101640915,0.707844454862253,0.863873124465521,0.885157735948055,0.719316012332387
1,"BRT_w",0.847072159541916,0.84854306756324,0.64813343923749,0.544707091469681,0.896112453327476,0.264234649899279,0.496676506800731,0.714589084731366,0.663495242864297,0.435476886929889
2,"BRT_w",0.97384465630172,0.975925214496094,0.915645483043602,0.92791915256301,0.971575446023586,0.538244051216262,0.891570697539696,0.947393269036218,0.951316939208588,0.894177708789546
3,"BRT_w",0.986822695521095,0.995713229859571,0.969379743522638,0.982927185174376,0.992231449236539,0.438125030779025,0.965092973382209,0.986208199508785,0.98927889557938,0.969953648840148
4,"BRT_w",0.976361477795485,0.869802849892641,0.963283582089552,0.973138239790347,0.828710837185413,0.602144432332324,0.833086431982193,0.906762657854361,0.918573490002061,0.810316427293882
5,"BRT_w",0.947361852879381,0.84652278177458,0.889512799339389,0.840676351512265,0.89379356123465,0.188969674182223,0.736035581113969,0.8719804400978,0.843589437208747,0.735239681868853
6,"BRT_w",0.873895641468533,0.73030303030303,0.821644339374836,0.680470588235294,0.854178044784271,0.389402164924861,0.551947369677866,0.790392258510454,0.704506699147381,0.542415877830351
7,"BRT_w",0.913460522140067,0.765527379639838,0.925687745623437,0.833533413365346,0.890378006872852,0.44191474527577,0.691215125263275,0.873302079576872,0.798084291187739,0.706016994381542
8,"BRT_w",0.96751814174859,0.909718115513503,0.949668023131292,0.951546391752577,0.906377759607523,0.737073720948332,0.859386138644795,0.928864709505235,0.930162249319762,0.857754850504299
9,"BRT_w",0.937036612794487,0.943460702081392,0.814345991561181,0.869785202863962,0.916373104610201,0.226306894697324,0.757806693642573,0.88767348859092,0.905126167295847,0.768034052447169
10,"BRT_w",0.914704228106001,0.924177197611443,0.777640409749205,0.840914834470558,0.88967468175389,0.059601134331193,0.701817607360648,0.859675036927622,0.880582203109494,0.711390507843213
1,"rf_no",0,0,0,0,0,0,0,0,0,0
2,"rf_no",0,0,0,0,0,0,0,0,0,0
3,"rf_no",0,0,0,0,0,0,0,0,0,0
4,"rf_no",0,0,0,0,0,0,0,0,0,0
5,"rf_no",0,0,0,0,0,0,0,0,0,0
6,"rf_no",0,0,0,0,0,0,0,0,0,0
7,"rf_no",0,0,0,0,0,0,0,0,0,0
8,"rf_no",0,0,0,0,0,0,0,0,0,0
9,"rf_no",0,0,0,0,0,0,0,0,0,0
10,"rf_no",0,0,0,0,0,0,0,0,0,0
1,"rf_w",0,0,0,0,0,0,0,0,0,0
2,"rf_w",0,0,0,0,0,0,0,0,0,0
3,"rf_w",0,0,0,0,0,0,0,0,0,0
4,"rf_w",0,0,0,0,0,0,0,0,0,0
5,"rf_w",0,0,0,0,0,0,0,0,0,0
6,"rf_w",0,0,0,0,0,0,0,0,0,0
7,"rf_w",0,0,0,0,0,0,0,0,0,0
8,"rf_w",0,0,0,0,0,0,0,0,0,0
9,"rf_w",0,0,0,0,0,0,0,0,0,0
10,"rf_w",0,0,0,0,0,0,0,0,0,0
