"","Water_bodies","Evergreen_Needleleaf_Forests","Evergreen_Broadleaf_Forests","Deciduous_Needleleaf_Forests","Deciduous_Broadleaf_Forests","Mixed_Forests","Closed_Shrublands","Open_Shrublands","Woody_Savannas","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_and_Builtup","Cropland_Natural_Vegetation_Mosaics","Snow_and_Ice","Barren_or_Sparsely_Vegetated","ndvi","evi","pop","prec","tmin","tmax","sp","ws","rh","elevation","urban_acc_30s","mite","rodent_richness"
"Water_bodies",1,-0.0415399977953985,-0.0469565969245354,-0.00379305000250806,-0.0473078869182994,-0.0759791435939686,-0.015815515934266,-0.00034464968261905,-0.110501981544315,-0.00253865422247491,-0.0449303771454448,0.380190278176867,-0.0607750415156198,0.0767268039583636,-0.028505820490851,-0.00914998941834561,-0.0175054848087685,-0.100827187084361,-0.122818065889773,0.0535429056297207,0.126669631075335,0.131616562350918,0.084787192883451,0.154245759040558,0.337200897039769,0.113323477273767,-0.140697933448778,-0.108603220160095,0.118640379537409,-0.126665792554844
"Evergreen_Needleleaf_Forests",-0.0415399977953985,1,0.0813002579531705,-0.00117691107218284,-0.0336957128955817,0.331763546565075,-0.00870404851920226,-0.00442040761904509,0.118976139581465,-0.00979607780939539,-0.0353681124069919,-0.0317728152050169,-0.137857810047666,-0.0790318763191364,-0.07006888007136,0.0219073829535691,-0.00177282823723688,0.182176058522123,0.0950697549124429,-0.0500386669307217,0.0377981596249803,-0.0610863294956764,-0.0475799149707928,-0.290383986742939,-0.22887553640473,0.0586882450531729,0.300689642871139,0.203569357639971,0.095955113800551,0.26051366820752
"Evergreen_Broadleaf_Forests",-0.0469565969245354,0.0813002579531705,1,-0.00845667743413597,-0.0923584110507407,0.0171794930589033,-0.0275356322109983,-0.00922733479888153,0.225126396711798,0.0428923084344789,-0.140902718803574,-0.0148638484242938,-0.274896448898423,-0.147424180285641,-0.0986617000490165,-0.0159966802852149,0.0302468695082472,0.532532786852803,0.530737527772397,-0.0885029129312796,0.490008369032844,0.324653634991954,0.3205595348133,0.01077196590205,-0.263717303481648,0.346521727949789,-0.007546507379672,0.130530254241721,0.118177514153795,0.280333859381189
"Deciduous_Needleleaf_Forests",-0.00379305000250806,-0.00117691107218284,-0.00845667743413597,1,0.0229277995273311,0.00916951131983825,-0.00140313544673351,0.00424057204656173,0.0393651403484541,-0.013290510905625,-0.00414779684905744,-0.00386380643808107,-0.0146031775271215,-0.00670882583155844,-0.00779738288643286,-0.000241530282412471,-0.011630539044508,-0.00714265355233286,-0.0138709352450443,-0.00510660730714954,-0.0213396156976684,-0.0616149320282289,-0.0561898570138764,-0.0049376998140203,0.00944026370656651,-0.00586722859309411,0.00324392014297322,0.062919718818131,-0.0613528889091425,-0.0137981860869199
"Deciduous_Broadleaf_Forests",-0.0473078869182994,-0.0336957128955817,-0.0923584110507407,0.0229277995273311,1,0.212541948871239,0.0560264407417744,-0.00625776739082308,0.106881849257782,-0.13583623884476,-0.0643269903126093,-0.0440942682934811,-0.128913423535331,-0.0905171714365738,-0.084173229694672,-0.0103151367994065,-0.122896760645168,0.0918292490443547,0.0404864381679843,-0.0587223922012362,-0.0728433593686081,-0.227949825642011,-0.240140382491548,-0.0563664337989077,-0.0706437973182191,0.00564989650192532,0.0576659875440703,0.105650022147572,0.0409318011692249,-0.0462163311217302
"Mixed_Forests",-0.0759791435939686,0.331763546565075,0.0171794930589033,0.00916951131983825,0.212541948871239,1,-0.0137161003321013,-0.00841928048974133,0.321764132073357,-0.0594372027755353,-0.110980437852251,-0.0582445864416827,-0.260038559322032,-0.13639777323159,-0.105527017642159,0.000740210649969514,-0.0350464643565358,0.309878761888756,0.172005551857545,-0.0855432254780892,0.0755812817753116,-0.0891248936102616,-0.114221062153247,-0.230873180307726,-0.311941012833805,0.155849921819491,0.232945231085584,0.267496241242499,0.177343573448194,0.235541517127949
"Closed_Shrublands",-0.015815515934266,-0.00870404851920226,-0.0275356322109983,-0.00140313544673351,0.0560264407417744,-0.0137161003321013,1,-0.00150044758706935,-0.0307517532000806,-0.00704359278735063,0.0896055419982627,-0.0075251226725491,-0.0149804887479643,-0.0268233066049528,-0.0246045961054902,-0.00272393291429977,-0.00665296696825386,-0.0238470083276953,-0.040738966030605,-0.0168616505819759,-0.0690490056378909,-0.0716063681868852,-0.058234542595611,-0.0153065922041557,-0.0207812232674059,-0.0860884425961627,0.0168114579740505,-0.0024632855093788,-0.045801363579384,-0.0132783900789812
"Open_Shrublands",-0.00034464968261905,-0.00442040761904509,-0.00922733479888153,0.00424057204656173,-0.00625776739082308,-0.00841928048974133,-0.00150044758706935,1,-0.0138239188846046,-0.0158810463408959,0.0297688381153071,-0.00290063308420466,-0.00861520937640706,-0.0039461913424613,-0.00837126227640417,0.0115735058010554,-0.00654243603679775,-0.0485288661331816,-0.0451399206712357,-0.00374775312874222,-0.0309246679660755,-0.0253814278475944,-0.0163259667223871,-0.0419063751226552,0.0132864482169722,-0.0506453889397331,0.0425912325788939,0.0261793490465841,-0.0465923364102494,-0.0108228377345959
"Woody_Savannas",-0.110501981544315,0.118976139581465,0.225126396711798,0.0393651403484541,0.106881849257782,0.321764132073357,-0.0307517532000806,-0.0138239188846046,1,0.00515909533573305,-0.203826756671329,-0.0575103663694073,-0.426489574224206,-0.227899389344812,-0.13758462339931,-0.0236057930878184,-0.000101286073218351,0.5467240163647,0.452270721072092,-0.136919621071628,0.325260262003734,0.164977565966534,0.114259517593424,-0.0782243264256974,-0.414519366329056,0.388669487715655,0.0647036562972211,0.210729866353785,0.215495706467571,0.333494078984408
"Savannas",-0.00253865422247491,-0.00979607780939539,0.0428923084344789,-0.013290510905625,-0.13583623884476,-0.0594372027755353,-0.00704359278735063,-0.0158810463408959,0.00515909533573305,1,-0.214436186317225,0.061997492576086,-0.416096738176449,-0.133313298598248,0.173862525415203,-0.0306495152632782,0.842560253167587,0.356860309395382,0.303600354070171,-0.10172602955926,0.361724462523795,0.361861293704263,0.300689092704294,0.00477342533581352,-0.179075343687499,0.369246897784823,-0.0260040287519032,-0.0527556794086966,0.259693148133152,0.320860102574419
