Rowid_,VALUE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,AFG,1,31114,777850000000.000000000000000,0.000000000000000,0.185800313949585,0.185800313949585,0.029305769847642,0.030697652852169,911.819723039523524
,AGO,2,51260,1281500000000.000000000000000,0.003482615109533,0.068214729428291,0.064732114318758,0.026679979321195,0.006870738832357,1367.615740004461259
,ALA,3,40,1000000000.000000000000000,0.004449892323464,0.031296782195568,0.026846889872104,0.016531683003996,0.006270353551301,0.661267320159823
,ALB,4,1479,36975000000.000000000000000,0.006267438642681,0.080611079931259,0.074343641288579,0.030397909070649,0.013101908937829,44.958507515490055
,AND,5,25,625000000.000000000000000,0.013131063431501,0.044075924903154,0.030944861471653,0.020342655740678,0.007110959533534,0.508566393516958
,ARE,6,2970,74250000000.000000000000000,0.025026243180037,0.062775485217571,0.037749242037535,0.035313359013937,0.005434877028700,104.880676271393895
,ARG,7,137322,3433050000000.000000000000000,0.000000000000000,0.201640889048576,0.201640889048576,0.044065638175379,0.043745936503089,6051.181565519407741
,ARM,8,1555,38875000000.000000000000000,0.000370659603504,0.082323357462883,0.081952697859379,0.009377811816944,0.010225168072078,14.582497375347884
,AUS,12,339157,8478925000000.000000000000000,0.005231527145952,0.085573732852936,0.080342205706984,0.032250634023353,0.007636002491935,10938.028283458203077
,AUT,13,4962,124050000000.000000000000000,0.004872709512711,0.116274863481522,0.111402153968811,0.019816259721314,0.007500703983643,98.328280737157911
,AZE,14,4466,111650000000.000000000000000,0.001230708672665,0.092426255345345,0.091195546672679,0.024787868729406,0.016269483017924,110.702621745527722
,BDI,15,1093,27325000000.000000000000000,0.009513579308987,0.061111956834793,0.051598377525806,0.031407616213680,0.008988211467036,34.328524521552026
,BEL,16,1916,47900000000.000000000000000,0.006376171018928,0.052980713546276,0.046604542527348,0.024552829258119,0.009025819535249,47.043220858555287
,BEN,17,4702,117550000000.000000000000000,0.005054920911789,0.086832948029041,0.081778027117252,0.019021188774214,0.011654923896263,89.437629616353661
,BFA,19,11267,281675000000.000000000000000,0.005393085069954,0.049695160239935,0.044302075169981,0.024250252583250,0.007211529020677,273.227595855481923
