"Metric","Mean","SD","Median","Q25","Q75","CI_Lower","CI_Upper","Model"
"AUC",0.936552289402531,0.0410763232635039,0.94039610558929,0.913233054467866,0.968578695476765,0.866717615247522,0.985653988568563,"Non-weighted"
"Sensitivity",0.885782410023141,0.0737658741886049,0.906050813791468,0.839510293782265,0.932566958872346,0.77445660122351,0.984866534974853,"Non-weighted"
"Specificity",0.872305473033169,0.114694451929343,0.907801984662042,0.855032609636911,0.933381016105493,0.631047903492952,0.970354111929716,"Non-weighted"
"PPV",0.855799375132076,0.134117955640282,0.898884113902642,0.834596888438899,0.933565593329261,0.580719157006951,0.98042891405682,"Non-weighted"
"NPV",0.900168985697522,0.0630453161629419,0.904546279200081,0.892789695617089,0.933988772541806,0.776683577183574,0.980808589440935,"Non-weighted"
"Cutoff",0.400718639913332,0.13612497476224,0.402739406386336,0.354877597370857,0.502172118005451,0.186708194416899,0.589987533395428,"Non-weighted"
"Youden",0.75808788305631,0.131637867359134,0.747099225262682,0.685444367039454,0.852979455966506,0.547441443912169,0.946064293172704,"Non-weighted"
"Accuracy",0.877518639511499,0.0789311902364726,0.888176093198149,0.846808570800699,0.927877526947941,0.729094694914587,0.975373213840571,"Non-weighted"
"F1_Score",0.864319117781583,0.0923367057309183,0.87723686527045,0.808132730064514,0.934637502374128,0.703970517387434,0.977824037047174,"Non-weighted"
"Kappa",0.749247493966909,0.151165188497255,0.753486147695331,0.670590771671469,0.853544486806183,0.484344544982163,0.948916452428476,"Non-weighted"
"AUC",0.936373237093632,0.0413152429280671,0.940679745772496,0.912966374140013,0.968153416834469,0.86569551892909,0.985882794178999,"Weighted"
"Sensitivity",0.887235865846104,0.0726150900274209,0.892408045699021,0.842809729161915,0.940763135946622,0.775737567016128,0.985558044771242,"Weighted"
"Specificity",0.869835288317761,0.116683800152074,0.901879176360999,0.846762090679515,0.929067668676055,0.625931430389482,0.96967944926105,"Weighted"
"PPV",0.853962731323687,0.135138785893724,0.8897672810291,0.845278911938453,0.92904146446916,0.574218892726801,0.979798686594868,"Weighted"
"NPV",0.900689245058673,0.0631108306594449,0.906852881999788,0.894737802552839,0.936492472865523,0.779447253074803,0.982092844682552,"Weighted"
"Cutoff",0.397350220929092,0.128219107310668,0.403448633156966,0.339611171236171,0.485384215686587,0.20383638996945,0.586697809744268,"Weighted"
"Youden",0.757071154163865,0.132560910817533,0.746294730678755,0.682677123310345,0.853082432438782,0.543589017037319,0.945655745229053,"Weighted"
"Accuracy",0.87659983233351,0.080530162719638,0.888764871177447,0.843090338869694,0.928471877363578,0.724826097546163,0.975188446852272,"Weighted"
"F1_Score",0.863896683448462,0.0928836275434346,0.87358428789769,0.811606430190766,0.935411309942952,0.70104220519039,0.97766977256343,"Weighted"
"Kappa",0.747956277413994,0.152995458858077,0.753657304987096,0.664618698381442,0.854567856304809,0.479316143454548,0.948542404331582,"Weighted"
