"Metric","Mean","SD","Median","Q25","Q75","CI_Lower","CI_Upper","Model"
"AUC",0.541143792869374,0.130108097045418,0.5,0.5,0.5,0.5,0.818864394737652,"weight1-nobio"
"Sensitivity",0.98328530259366,0.0528565142045435,1,1,1,0.870461095100865,1,"weight1-nobio"
"Specificity",0.0841938046068308,0.266244187432763,0,0,0,0,0.652501985702939,"weight1-nobio"
"PPV",0.522595635860008,0.129240975754617,0.545831966080039,0.43968481282169,0.594379957357213,0.326732231141353,0.704623258109279,"weight1-nobio"
"NPV",0.542121588940633,0.167033423766293,0.479843845488526,0.434948506632537,0.640039641582645,0.36933760595131,0.856018498289687,"weight1-nobio"
"Cutoff",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,"weight1-nobio"
"Youden",0.0674791072004907,0.213387673228219,0,0,0,0,0.522963080803804,"weight1-nobio"
"Accuracy",0.53456514260488,0.106984023932546,0.501237880388629,0.498937953394405,0.503665763347309,0.49623760800147,0.763983697749789,"weight1-nobio"
"F1_Score",0.522222055965108,0.10664772291582,0.523763091485124,0.467885433255407,0.542601521195741,0.393411445538454,0.72649852312523,"weight1-nobio"
"Kappa",0.0663517233435035,0.20515767440936,0.00247396622395788,-0.00214266627749506,0.00732908656084023,-0.00747996369925786,0.506373780089702,"weight1-nobio"
"AUC",0.540715410046703,0.128753431615284,0.5,0.5,0.5,0.5,0.815544427861949,"weight1-bio"
"Sensitivity",0.98488632724944,0.0477936297021926,1,1,1,0.882869036183157,1,"weight1-bio"
"Specificity",0.0812390786338364,0.256900523496443,0,0,0,0,0.629602859412232,"weight1-bio"
"PPV",0.519445853336629,0.124086993144771,0.545831966080039,0.43968481282169,0.594379957357213,0.326732231141353,0.680212443553092,"weight1-bio"
"NPV",0.542637884341254,0.168301205760459,0.479843845488526,0.434948506632537,0.640039641582645,0.36933760595131,0.860019787644497,"weight1-bio"
"Cutoff",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,"weight1-bio"
"Youden",0.066125405883276,0.20910689379425,0,0,0,0,0.512471895595389,"weight1-bio"
"Accuracy",0.533121099283581,0.102419462215731,0.501237880388629,0.498937953394405,0.503665763347309,0.49623760800147,0.752792362009717,"weight1-bio"
"F1_Score",0.521032746465956,0.103546449796245,0.523763091485124,0.467885433255407,0.542601521195741,0.393411445538454,0.717281374506802,"weight1-bio"
"Kappa",0.0639006942436328,0.197410323318231,0.00247396622395788,-0.00214266627749506,0.00732908656084023,-0.00747996369925786,0.487378304565704,"weight1-bio"
