"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"Non-weighted",0.912148992193765,0.835094460454691,0.846862589356632,0.730123180291154,0.911905576462538,0.410932519640853,0.681957049811323,0.842960288808664,0.779088872292756,0.658118178334242
2,"Non-weighted",0.968818614381306,0.949033166858753,0.910230834995725,0.921651535878622,0.941349837901562,0.606635155738084,0.859264001854478,0.93066702637081,0.935141955835962,0.860705055139287
3,"Non-weighted",0.98961407308156,0.995269770879527,0.97095001308558,0.983781414377557,0.991448423303046,0.532585317460317,0.966219783965107,0.986491592669564,0.989492247777206,0.970586190522694
4,"Non-weighted",0.967858938763143,0.928752683974234,0.905373134328358,0.937536945812808,0.892583872866392,0.408921934465794,0.834125818302592,0.919509028679334,0.933124141988625,0.832062781806868
5,"Non-weighted",0.955130884557424,0.852757793764988,0.937076796036334,0.903225806451613,0.90235368956743,0.344055555555555,0.789834589801322,0.902689486552567,0.877266559763168,0.796764330123586
6,"Non-weighted",0.856753839949269,0.933838383838384,0.581822957709483,0.537343795408311,0.944160272804774,0.206566798941799,0.515661341547866,0.702263694487645,0.682161962737502,0.438094136776924
7,"Non-weighted",0.91648524129017,0.773612642410878,0.922293676312969,0.828740157480315,0.893407163869181,0.396556878306878,0.695906318723847,0.873662699843731,0.800228093518342,0.708008551683151
8,"Non-weighted",0.972013697468238,0.908338261383797,0.968301563503962,0.968881412952061,0.906738868832732,0.532645723104056,0.876639824887759,0.937076575651817,0.937633533421508,0.87427624343728
9,"Non-weighted",0.901037285719281,0.777363570467019,0.879542670477746,0.89454242135367,0.750348351137947,0.387343722816762,0.656906240944765,0.821512585274053,0.831846639703031,0.643651506577987
10,"Non-weighted",0.925661326621155,0.903763366199139,0.800600494524903,0.852167081314652,0.867393800229621,0.180942793103219,0.704363860724042,0.858353416776802,0.877207170777733,0.710207965267075
1,"Weighted",0.911567536662702,0.837015690041627,0.840508339952343,0.722498618021006,0.912241379310345,0.413174650758959,0.67752402999397,0.839350180505415,0.775552588636701,0.651506882951309
2,"Weighted",0.968718721239324,0.952106543731592,0.908235964662297,0.920287164253002,0.94457617071725,0.605260934744268,0.860342508393889,0.931341471639576,0.935926485397784,0.862022162658688
3,"Weighted",0.990033024405331,0.995269770879527,0.97095001308558,0.983781414377557,0.991448423303046,0.52275815696649,0.966219783965107,0.986491592669564,0.989492247777206,0.970586190522694
4,"Weighted",0.966457503619906,0.935779816513762,0.895522388059702,0.931959564541213,0.901171522979874,0.396328262786596,0.831302204573463,0.919863094535584,0.933865783578455,0.832204937243172
5,"Weighted",0.956218496713777,0.860191846522782,0.929479768786127,0.893622321873443,0.906134277894059,0.331034692159692,0.789671615308909,0.901222493887531,0.876588465298143,0.794296901640964
6,"Weighted",0.855282268442237,0.942424242424242,0.567375886524823,0.531169940222032,0.949868073878628,0.19896450617284,0.509800128949065,0.695697252462416,0.679410158383397,0.429927517735424
7,"Weighted",0.917162886571949,0.770305034913635,0.927831368345838,0.8384,0.892593229077161,0.410569003527337,0.698136403259472,0.876307248467364,0.802911319670561,0.713017708333229
8,"Weighted",0.971587556732743,0.909520993494973,0.965303062754337,0.96608040201005,0.907571486105517,0.509454070662463,0.87482405624931,0.936255389037159,0.936947913493756,0.872613807451085
9,"Weighted",0.901563381717139,0.794449622035829,0.865523342861032,0.885912240184757,0.762104506232023,0.365340608465608,0.659972964896861,0.82515878616796,0.837691761751378,0.64943252093153
10,"Weighted",0.925140994831216,0.875295097903069,0.827622748145532,0.865915647753812,0.839183381088825,0.220617323046662,0.702917846048601,0.854310813962528,0.870580110497238,0.703954144671843
