"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"Non-weighted",0.911437928693745,0.832853025936599,0.841938046068308,0.723303670745272,0.910340089316386,0.409711024698949,0.674791072004908,0.838925461881504,0.774222354517041,0.649988194201876
2,"Non-weighted",0.5,1,0,0.527920151065552,0.474571698367732,-Inf,0,0.501247723747218,0.514221901070748,0.00249185838783635
3,"Non-weighted",0.5,1,0,0.640279614585301,0.362176459474778,-Inf,0,0.50122803703004,0.562116437220103,0.00245607406007942
4,"Non-weighted",0.5,1,0,0.603257021477461,0.394003777148253,-Inf,0,0.498642747551044,0.546153846153846,-0.00273926898631899
5,"Non-weighted",0.5,1,0,0.4107177782124,0.595070422535211,-Inf,0,0.502885085574572,0.452439943983626,0.00578809633551591
6,"Non-weighted",0.5,1,0,0.339322736696614,0.655029381265123,-Inf,0,0.497148781752203,0.402954452195322,-0.0056475737683419
7,"Non-weighted",0.5,1,0,0.323076923076923,0.668910795864391,-Inf,0,0.495973073686741,0.390640895218718,-0.00801194787274959
8,"Non-weighted",0.5,1,0,0.526585916649559,0.485115992609321,-Inf,0,0.50585095462944,0.515888978278359,0.011701909258879
9,"Non-weighted",0.5,1,0,0.567748764996471,0.431898376852505,-Inf,0,0.499823570924488,0.531637204691888,-0.000352858151023261
10,"Non-weighted",0.5,1,0,0.563743781094527,0.444098895972633,-Inf,0,0.503925989271554,0.531944546321426,0.00784274996928167
1,"Weighted",0.907154100467031,0.848863272494396,0.812390786338364,0.691805845511482,0.915503043322592,0.406370531825388,0.66125405883276,0.824485028668507,0.762329259525521,0.625477903203169
2,"Weighted",0.5,1,0,0.527920151065552,0.474571698367732,-Inf,0,0.501247723747218,0.514221901070748,0.00249185838783635
3,"Weighted",0.5,1,0,0.640279614585301,0.362176459474778,-Inf,0,0.50122803703004,0.562116437220103,0.00245607406007942
4,"Weighted",0.5,1,0,0.603257021477461,0.394003777148253,-Inf,0,0.498642747551044,0.546153846153846,-0.00273926898631899
5,"Weighted",0.5,1,0,0.4107177782124,0.595070422535211,-Inf,0,0.502885085574572,0.452439943983626,0.00578809633551591
6,"Weighted",0.5,1,0,0.339322736696614,0.655029381265123,-Inf,0,0.497148781752203,0.402954452195322,-0.0056475737683419
7,"Weighted",0.5,1,0,0.323076923076923,0.668910795864391,-Inf,0,0.495973073686741,0.390640895218718,-0.00801194787274959
8,"Weighted",0.5,1,0,0.526585916649559,0.485115992609321,-Inf,0,0.50585095462944,0.515888978278359,0.011701909258879
9,"Weighted",0.5,1,0,0.567748764996471,0.431898376852505,-Inf,0,0.499823570924488,0.531637204691888,-0.000352858151023261
10,"Weighted",0.5,1,0,0.563743781094527,0.444098895972633,-Inf,0,0.503925989271554,0.531944546321426,0.00784274996928167
